Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll,attentive
237987, Y,351.7936,259.6332,345.1899,0
238009, Y,351.7884,259.0371,345.2124,0
238026, Y,351.7441,258.2733,345.2028,0
238043, Y,351.6619,257.3758,345.2561,0
238057, Y,351.5513,256.3851,345.4283,0
238071, Y,351.3489,254.479,345.7633,0
238092, Y,351.2608,252.8583,346.0243,0
238109, Y,351.2316,251.083,346.196,0
238126, Y,351.0889,249.0631,346.379,0
238141, Y,350.8576,246.8327,346.5794,0
238155, Y,350.3897,242.9271,347.1335,0
238176, Y,350.0918,240.451,347.601,0
238193, Y,349.9647,238.2287,347.9103,0
238209, Y,349.9503,236.0462,348.0754,0
238224, Y,349.9648,233.9139,348.265,0
238238, Y,349.9702,229.7558,348.6944,0
238252, Y,350.0808,227.626,348.8827,0
238276, Y,350.2627,225.6502,349.0841,0
238293, Y,350.4826,223.7408,349.3417,0
238308, Y,350.608,221.8022,349.5576,0
238322, Y,350.7509,217.9204,350.0922,0
238336, Y,350.7107,216.0941,350.6506,0
238359, Y,350.6585,214.6334,351.2195,0
238376, Y,350.7243,213.2709,351.5516,0
238393, Y,350.8618,212.121,351.7448,0
238406, Y,350.9487,210.8469,351.9481,0
238419, Y,351.127,208.1937,352.3514,0
238442, Y,351.1236,207.3854,352.4866,0
238459, Y,351.2176,206.3914,352.7068,0
238476, Y,351.2832,205.4707,353.0093,0
238489, Y,351.3254,204.5692,353.1788,0
238503, Y,351.4921,202.6884,353.4821,0
238526, Y,351.6144,201.912,353.4437,0
238543, Y,351.7901,201.0047,353.4899,0
238558, Y,351.9227,200.1712,353.6034,0
238572, Y,352.1248,198.5269,353.8778,0
238586, Y,352.1735,197.9245,354.0441,0
238609, Y,352.1629,197.3786,354.1145,0
238625, Y,352.2108,196.6785,354.1911,0
238645, Y,352.3449,195.9911,354.1966,0
238659, Y,352.4759,195.2635,354.2921,0
238673, Y,352.6605,193.8771,354.4095,0
238695, Y,352.7594,193.3082,354.4942,0
238711, Y,352.7985,192.7175,354.5468,0
238728, Y,352.842,192.0991,354.5471,0
238742, Y,352.9793,190.8094,354.5613,0
238756, Y,353.008,190.1416,354.5627,0
238778, Y,353.0322,189.5574,354.5887,0
238795, Y,353.0581,189.0243,354.6279,0
238812, Y,353.0801,188.5515,354.6665,0
238826, Y,353.0712,187.5357,354.7845,0
238861, Y,352.9229,187.1185,354.7263,0
238865, Y,352.8939,186.6046,354.751,0
238888, Y,352.9126,185.6508,354.8159,0
238905, Y,352.9446,185.2258,354.8692,0
238922, Y,353.0439,184.8091,354.9203,0
238934, Y,353.1409,183.8862,355.0092,0
238955, Y,353.3046,183.4893,355.0548,0
238971, M,353.4541,183.092,355.0537,1
238988, M,353.5681,182.7196,355.1051,1
239004, M,353.7131,182.4134,355.1937,1
239018, M,353.9305,181.6922,355.3131,1
239031, M,354.0366,181.3884,355.4035,1
239054, M,354.0914,181.0221,355.3623,1
239072, M,354.1234,180.6485,355.3725,1
239087, M,354.191,180.2953,355.41,1
239101, M,354.3557,179.6336,355.5119,1
239115, M,354.4182,179.3272,355.6447,1
239138, M,354.5699,179.1591,355.7143,1
239155, M,354.6236,178.9319,355.7473,1
239171, M,354.7017,178.7003,355.7288,1
239185, M,354.8317,178.168,355.762,1
239199, M,354.8821,177.9194,355.7202,1
239221, M,354.9383,177.7473,355.7737,1
239238, M,355.0031,177.5883,355.7774,1
239255, M,355.0492,177.4565,355.8441,1
239270, M,355.0677,177.3128,355.8182,1
239284, M,355.1104,176.9181,355.8248,1
239304, M,355.0865,176.7231,355.7872,1
239322, M,355.1314,176.5115,355.7631,1
239338, M,355.1565,176.3627,355.7375,1
239353, M,355.1859,176.2138,355.7198,1
239367, M,355.2347,175.9252,355.7059,1
239388, M,355.2436,175.8504,355.6867,1
239404, M,355.2709,175.7084,355.6483,1
239422, M,355.3037,175.5613,355.6302,1
239436, M,355.3765,175.4134,355.6164,1
239450, M,355.471,175.1091,355.5275,1
239471, M,355.567,174.9745,355.515,1
239488, M,355.5969,174.847,355.4979,1
239505, M,355.576,174.7643,355.4865,1
239519, M,355.5963,174.6745,355.4318,1
239533, M,355.6176,174.4578,355.3557,1
239555, M,355.6193,174.334,355.2848,1
239572, M,355.5544,174.2969,355.1226,1
239588, M,355.5188,174.3105,355.0149,1
239603, M,355.4938,174.3576,354.9792,1
239617, M,355.4725,174.3633,354.8383,1
239638, M,355.4854,174.4657,354.795,1
239654, M,355.4883,174.5432,354.7602,1
239671, M,355.5133,174.6279,354.694,1
239687, M,355.5227,174.7421,354.6039,1
239700, M,355.5333,174.8981,354.4428,1
239721, M,355.545,175.0344,354.3277,1
239738, M,355.5984,175.0984,354.2171,1
239754, M,355.6516,175.1847,354.1171,1
239770, M,355.6914,175.2468,354.0103,1
239784, M,355.7333,175.3823,353.8086,1
239798, M,355.7936,175.4619,353.726,1
239821, M,355.8642,175.5485,353.6181,1
239838, M,355.9207,175.662,353.4677,1
239853, M,356.0028,175.7904,353.2992,1
239867, M,356.162,175.9828,353.0666,1
239881, M,356.2411,176.0767,352.9792,1
239905, M,356.2884,176.1167,352.8491,1
239921, M,356.3089,176.1451,352.7823,1
239937, M,356.3822,176.179,352.64,1
239951, M,356.5007,176.2549,352.3805,1
239971, M,356.6155,176.3057,352.2067,1
239988, M,356.7196,176.3322,352.009,1
240004, M,356.8313,176.4132,351.7806,1
240022, M,356.9062,176.4946,351.5485,1
240034, M,356.9627,176.5509,351.2949,1
240048, M,357.0887,176.7357,350.8512,1
240071, M,357.0967,176.9519,350.5771,1
240088, M,357.1375,177.1333,350.3635,1
240105, M,357.156,177.3414,350.1858,1
240118, M,357.1893,177.5476,350.0332,1
240131, M,357.2689,177.9752,349.678,1
240155, M,357.2893,178.2552,349.548,1
240174, M,357.3001,178.5497,349.4472,1
240188, M,357.3429,179.0056,349.1797,1
240202, M,357.3774,179.2543,349.0504,1
240223, M,357.4495,179.4488,348.9145,1
240240, M,357.5044,179.6729,348.777,1
240257, M,357.6093,179.8691,348.6294,1
240271, M,357.615,180.0754,348.5398,1
240285, M,357.6062,180.4715,348.401,1
240307, M,357.2836,180.6419,348.7107,1
240324, M,357.1585,180.8536,348.7713,1
240341, M,357.2129,181.0863,348.7744,1
240355, M,357.3247,181.2991,348.7606,1
240369, M,357.4362,181.727,348.6873,1
240390, M,357.4685,181.9145,348.6317,1
240407, M,357.4417,182.0791,348.6533,1
240423, M,357.4163,182.2125,348.6953,1
240438, M,357.4007,182.3547,348.734,1
240452, M,357.4438,182.5973,348.752,1
240473, M,357.4996,182.6702,348.7961,1
240490, M,357.5566,182.7675,348.8208,1
240507, M,357.6439,182.8443,348.8352,1
240522, M,357.6287,182.9077,348.8806,1
240536, M,357.639,183.0555,348.9836,1
240557, M,357.5198,183.0922,349.0763,1
240573, M,357.4779,183.1256,349.1871,1
240590, M,357.4709,183.1407,349.2862,1
240606, M,357.4726,183.1414,349.3853,1
240619, M,357.4531,183.1911,349.5092,1
240640, M,357.4034,183.1467,349.6154,1
240657, M,357.3542,183.1321,349.7384,1
240673, M,357.2822,183.1153,349.8668,1
240689, M,357.2379,183.1166,349.9648,1
240703, M,357.1805,183.0953,350.2158,1
240717, M,357.151,183.1081,350.386,1
240740, M,357.0934,183.1675,350.524,1
240757, M,357.0931,183.2878,350.6011,1
240772, M,357.096,183.3895,350.7651,1
240786, M,357.1288,183.546,351.0605,1
240800, M,357.1782,183.6241,351.2011,1
240824, M,357.2599,183.642,351.3555,1
240840, M,357.3212,183.6266,351.4719,1
240857, M,357.4036,183.6073,351.5443,1
240870, M,357.4727,183.5809,351.6447,1
240884, M,357.6201,183.5633,351.7871,1
240907, M,357.6782,183.4509,351.8388,1
240924, M,357.7337,183.351,351.8622,1
240939, M,357.7857,183.2973,351.9007,1
240953, M,357.875,183.1581,351.9704,1
240967, M,357.9299,183.0893,351.9663,1
240990, I,357.9509,183.047,351.9299,1
241007, I,357.9862,182.9805,351.9323,1
241024, I,357.9662,182.9885,351.9457,1
241037, I,357.9857,182.9734,351.9091,1
241050, I,358.0087,182.9658,351.8566,1
241073, I,358.0149,183.0067,351.8675,1
241090, I,358.0,183.0165,351.8573,1
241106, I,357.9919,183.0426,351.8268,1
241120, I,358.0273,183.0843,351.7634,1
241134, I,358.0882,183.1193,351.754,1
241157, I,358.1523,183.1726,351.6744,1
241173, I,358.1812,183.1718,351.594,1
241191, I,358.1948,183.1626,351.5751,1
241204, I,358.1754,183.1596,351.5495,1
241218, I,358.1548,183.1784,351.4708,1
241240, I,358.1331,183.1258,351.4297,1
241256, I,358.17,183.091,351.3879,1
241274, I,358.1658,183.0776,351.3439,1
241287, I,358.1931,183.047,351.3077,1
241301, I,358.1711,182.9763,351.2552,1
241323, I,358.111,182.9592,351.2557,1
241340, I,358.0646,182.9622,351.2249,1
241357, I,358.0484,182.9687,351.2387,1
241371, I,358.063,183.0035,351.2122,1
241385, I,358.0301,183.0051,351.1973,1
241407, I,358.0367,183.0751,351.1917,1
241424, I,358.0052,183.1217,351.2154,1
241441, I,357.963,183.1783,351.2333,1
241454, I,357.9661,183.2401,351.2795,1
241468, I,357.9062,183.2962,351.3386,1
241490, I,357.8953,183.2881,351.3576,1
241507, I,357.8595,183.2736,351.394,1
241523, I,357.8351,183.2839,351.3862,1
241538, I,357.823,183.2396,351.3774,1
241552, I,357.7657,183.2133,351.3955,1
241573, I,357.7716,183.1254,351.3905,1
241590, I,357.7578,183.0383,351.4369,1
241606, I,357.7198,182.9475,351.4493,1
241622, I,357.6576,182.8575,351.4538,1
241635, I,357.6133,182.671,351.4672,1
241657, I,357.5953,182.5989,351.3426,1
241674, I,357.6073,182.5518,351.3556,1
241690, I,357.6338,182.4401,351.3574,1
241705, I,357.6219,182.364,351.3707,1
241719, I,357.5934,182.1978,351.3785,1
241740, I,357.5723,182.1122,351.4083,1
241757, I,357.5642,182.0224,351.4007,1
241773, I,357.5685,181.9255,351.4051,1
241789, I,357.5855,181.8464,351.3898,1
241803, I,357.5992,181.6889,351.4314,1
241817, I,357.6088,181.5799,351.4391,1
241840, I,357.6321,181.4635,351.4565,1
241857, I,357.6371,181.3448,351.4487,1
241872, I,357.6448,181.231,351.4406,1
241886, I,357.6615,180.9716,351.3927,1
241907, I,357.6598,180.8409,351.3921,1
241924, I,357.6565,180.6736,351.4087,1
241940, I,357.635,180.5586,351.3673,1
241957, I,357.5774,180.4436,351.322,1
241970, I,357.5624,180.3641,351.2956,1
241983, I,357.53,180.1518,351.2596,1
242007, I,357.5233,180.0959,351.2843,1
242024, I,357.5475,180.0646,351.2264,1
242039, I,357.5756,180.0676,351.1973,1
242053, I,357.5686,180.048,351.1101,1
242067, I,357.5889,180.0454,351.0522,1
242091, I,357.5993,180.1292,350.9658,1
242107, I,357.6136,180.1765,350.8775,1
242123, I,357.624,180.236,350.8245,1
242137, I,357.6653,180.3434,350.6824,1
242151, I,357.7021,180.4252,350.6476,1
242173, I,357.7528,180.5677,350.5624,1
242191, I,357.7892,180.6667,350.5392,1
242207, I,357.8083,180.7681,350.5008,1
242221, I,357.8591,180.927,350.4229,1
242235, I,357.887,181.025,350.4006,1
242257, I,357.9014,181.0894,350.3783,1
242274, I,357.9209,181.1521,350.3729,1
242290, I,357.9285,181.1726,350.3675,1
242304, I,357.9503,181.2516,350.3664,1
242318, I,357.9346,181.2335,350.4062,1
